ID,Date,Condition,Collector,Location,DS,IC,Comp,Age,Gender,Student,Mjr.Occ,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,Imp.1,Eff.1,Exc,Comments,Collection,DV,filter_$
A397,6/8/17,L,LH,Stonefield,1,2,1,45,F,N,Teacher,6,6,5,7,6,6,6,5,7,7,1,Ex,2,5.833333333,0
A398,6/8/17,L,LH,Stonefield,1,1,1,26,M,Y,"Graduate student, aerospace",7,7,6,7,5,6,7,6,6,6,0,NA,2,6.333333333,1
A399,6/8/17,L,LH,Stonefield,1,1,1,67,M,N,Dentist,7,7, ,6,7,7,7, ,1,4,0,Pa,2,7,1
A400,6/8/17,L,LH,Stonefield,1,1,1,55,M,N,Remodeling construction,6,5,6,6,7,6,6,5,6,6,0,NA,2,5.833333333,1
A401,6/9/17,H,LH,Charlottes,1,1,1,23,F,N,Environmental non-profit,6,6,5,7,5,5,6,6,4,6,0,NA,2,5.666666667,1
A402,6/9/17,H,LH,Charlottes,1,1,1,24,M,N,Linguist,6,5,3,4,5,5,6,5,4,3,0,NA,2,5.333333333,1
A403,6/9/17,H,LH,Charlottes,1,1,1,28,F,N,Artist,6,6,6,7,7,6,7,6,6,6,0,NA,2,6.333333333,1
A404,6/9/17,H,LH,Charlottes,1,1,1,23,F,Y,"Biology major, psychology minor",7,6,6,7,7,7,7,7,7,7,0,NA,2,6.833333333,1
A405,6/9/17,H,LH,Charlottes,1,1,1,63,F,N,Professor,6,6,6,6,7,6,7,6,7,3,0,NA,2,6.333333333,1
A406,6/9/17,H,LH,Charlottes,1,1,1,18,F,Y,Makeup artist,5,6,6,6,7,6,7,6,5,5,0,NA,2,6.166666667,1
A407,6/9/17,H,LH,Charlottes,1,1,1,33,F,N,0,5,5,5,5,5,5,5,5,5,5,0,NA,2,5,1
A408,6/9/17,H,LH,Charlottes,1,1,1,26,F,Y,Environmental health,6,5,6,6,7,6,7,5,6,5,0,NA,2,6,1
A409,6/9/17,H,LH,Charlottes,1,2,1,33,M,N,Sales,5,5,5,4,5,5,5,5,6,5,0,NA,2,5,1
A410,6/9/17,H,LH,Charlottes,1,1,1,41,F,N,Archivist/librarian,6,7,5,7,6,6,7,5,6,6,0,NA,2,6.166666667,1
A411,6/8/17,L,LH,Stonefield,1,1,1,34,F,N,Physician,7,7,7,7,7,7,7,7,6,6,0,NA,2,7,1
A412,6/8/17,L,LH,Stonefield,1,1,1,40,F,Y,Special education/teacher,6,5,5,5,6,5,5,5,6,6,1,Ex,2,5.333333333,0
A413,6/8/17,L,LH,Stonefield,1,1,1,63,F,N,Retail Sales,5,5,5,5,6,5,5,4,7,5,0,NA,2,5,1
A414,6/8/17,L,LH,Stonefield,1,1,1,65,M,N,Business owner,6,6,6,7,7,7,7,6,7,7,0,NA,2,6.5,1
A415,6/8/17,L,LH,Stonefield,1,1,1,32,M,N,Accountant,7,6,5,7,7,7,7,6,4,5,0,NA,2,6.666666667,1
A416,6/9/17,L,LH,Charlottes,1,1,1,21,F,Y,Cognitive science,5,7,3,4,7,5,7,5,1,3,0,NA,2,6,1
A417,6/9/17,L,LH,Charlottes,1,1,1,21,F,N,"Asian studies, BA",7,5,5,7,7,6,5,7,5,4,0,NA,2,6.166666667,1
A418,6/9/17,L,LH,Charlottes,1,1,1,30,M,Y,"History, political science, science/legal",7,4,7,7,5,6,7,5,7,6,0,NA,2,5.666666667,1
A419,6/9/17,L,LH,Charlottes,1,1,1,32,F,N,0,6,6,5,5,6,5,5,5,7,6,0,NA,2,5.5,1
